feature_en,label_vi,keywords_vi,mapping_source
"High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes","High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes",,unmapped
hip joint pain,Đau khớp háng,đau khớp háng; đau hông; nhức hông,manual+auto
hip pain,Đau hông,đau hông; nhức hông,auto
hip stiffness or tightness,Cứng hông,cứng hông; căng hông,auto
history of alcohol consumption,Uống rượu,uống rượu; nghiện rượu; tiền sử rượu,manual
hoarse voice,Khàn tiếng,khàn tiếng,auto
hostile behavior,Hostile behavior,,unmapped
hot flashes,Bốc hỏa,bốc hỏa,auto
hurts to breath,Đau khi thở,đau khi thở; thở đau,auto
"Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face","Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face",,unmapped
hysterical behavior,Hysterical behavior,,unmapped
impotence,Impotence,,unmapped
increased appetite,Tăng cảm giác thèm ăn,tăng cảm giác thèm ăn; ăn nhiều,manual
"Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)","Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)",,unmapped
"Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor","Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor",,unmapped
"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)","Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)",,unmapped
increased heart rate,Tim đập nhanh,tim đập nhanh; mạch nhanh,auto
"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen","Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen",,unmapped
"increased thirst, frequent urination, fatigue","Increased thirst, frequent urination, fatigue",,unmapped
indigestion,Khó tiêu,khó tiêu; đầy bụng,manual
infant feeding problem,Trẻ bú kém,trẻ bú kém; vấn đề ăn bú ở trẻ,auto
infertility,Vô sinh,vô sinh; hiếm muộn,auto
"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss",,unmapped
"Inflammation of the glans penis (tip of the penis), redness, swelling, pain","Inflammation of the glans penis (tip of the penis), redness, swelling, pain",,unmapped
inflammatory nails,Viêm móng,viêm móng,manual
insomnia,Mất ngủ,mất ngủ; khó ngủ; ngủ không được; ngủ kém; trằn trọc; thức giấc nhiều,manual
"Intense itching, especially at night, small blisters or bumps","Intense itching, especially at night, small blisters or bumps",,unmapped
"Intense joint pain, swelling, redness","Intense joint pain, swelling, redness",,unmapped
intermenstrual bleeding,Ra máu giữa kỳ kinh,ra máu giữa kỳ kinh; chảy máu giữa chu kỳ,auto
involuntary urination,Tiểu không tự chủ,tiểu không tự chủ; són tiểu,auto
irregular appearing nails,Irregular appearing nails,,unmapped
irregular appearing scalp,Irregular appearing scalp,,unmapped
irregular heartbeat,Nhịp tim không đều,nhịp tim không đều; loạn nhịp,auto
"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue","Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue",,unmapped
irregular sugar level,Đường huyết bất thường,đường huyết bất thường; đường máu bất thường,manual
irritability,Dễ cáu,dễ cáu; cáu gắt,manual
irritable infant,Irritable infant,,unmapped
irritation in anus,Ngứa hậu môn,ngứa hậu môn; kích ứng hậu môn,manual
itchiness of eye,Ngứa mắt,ngứa mắt,auto
itching,Ngứa,ngứa; ngứa da,manual
"Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area","Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area",,unmapped
itching of skin,Ngứa da,ngứa da,auto
itching of the anus,Ngứa hậu môn,ngứa hậu môn,auto
itchy ear(s),Ngứa tai,ngứa tai,auto
itchy scalp,Ngứa da đầu,ngứa da đầu,auto
"Itchy, red rash caused by contact with irritants or allergens","Itchy, red rash caused by contact with irritants or allergens",,unmapped
"Itchy, red, inflamed skin, rash","Itchy, red, inflamed skin, rash",,unmapped
jaundice,Vàng da,vàng da; vàng mắt,auto
jaw swelling,Sưng hàm,sưng hàm; sưng vùng hàm; sưng mặt do răng; phù hàm,manual+auto
joint pain,Đau khớp,đau khớp; nhức khớp,manual
"Joint pain, fatigue, skin rashes","Joint pain, fatigue, skin rashes",,unmapped
"Joint pain, fever, rash, heart inflammation","Joint pain, fever, rash, heart inflammation",,unmapped
"Joint pain, stiffness, swelling","Joint pain, stiffness, swelling",,unmapped
"Joint pain, stiffness, swelling, fatigue, loss of appetite","Joint pain, stiffness, swelling, fatigue, loss of appetite",,unmapped
"Joint pain, swelling, stiffness, limited range of motion, fever, rash","Joint pain, swelling, stiffness, limited range of motion, fever, rash",,unmapped
"Joint pain, swelling, tenderness, limited range of motion","Joint pain, swelling, tenderness, limited range of motion",,unmapped
"Joint swelling, pain, warmth, limited range of motion","Joint swelling, pain, warmth, limited range of motion",,unmapped
kidney mass,Kidney mass,,unmapped
knee pain,Đau gối,đau gối; đau khớp gối; nhức gối,manual+auto
knee stiffness or tightness,Cứng gối,cứng gối; căng gối,auto
knee swelling,Sưng gối,sưng gối; phù gối,auto
lack of concentration,Kém tập trung,kém tập trung; giảm tập trung,manual
lacrimation,Chảy nước mắt,chảy nước mắt,auto
leg pain,Đau chân,đau chân; nhức chân,auto
leg swelling,Sưng chân,sưng chân; phù chân,auto
leg weakness,Yếu chân,yếu chân,auto
lethargy,Lừ đừ,lừ đừ; uể oải; li bì nhẹ,manual
lip swelling,Sưng môi,sưng môi,auto
"Localized muscle pain, trigger points","Localized muscle pain, trigger points",,unmapped
long menstrual periods,Long menstrual periods,,unmapped
loss of appetite,Chán ăn,chán ăn; ăn kém,manual
loss of balance,Mất thăng bằng,mất thăng bằng,manual
loss of sensation,Mất cảm giác,mất cảm giác; giảm cảm giác,auto
loss of smell,Mất khứu giác,mất khứu giác; mất mùi,manual
low back pain,Đau lưng,đau lưng; nhức lưng,auto
"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)",,unmapped
low self-esteem,Tự ti,tự ti; mặc cảm,auto
low urine output,Tiểu ít,tiểu ít; lượng nước tiểu ít,manual+auto
lower abdominal pain,Đau bụng,đau bụng; nhức bụng,auto
Lower abdominal pain and discomfort occurring around the time of ovulation,Lower abdominal pain and discomfort occurring around the time of ovulation,,unmapped
"Lower back pain, leg pain, numbness or tingling","Lower back pain, leg pain, numbness or tingling",,unmapped
lower body pain,Lower body pain,,unmapped
"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape","Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape",,unmapped
"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis","Lump, swelling, difficulty, pain when swallowing and speaking, facial weakness, facial paralysis",,unmapped
"Lump, swelling, Facial changes","Lump, swelling, facial changes",,unmapped
"Lump, swelling, Facial numbness, tingling","Lump, swelling, facial numbness, tingling",,unmapped
malaise,Khó chịu,khó chịu; mệt lả,manual
mass on eyelid,Khối ở mí mắt,khối ở mí mắt; u cục ở mí mắt,auto
mass or swelling around the anus,Mass or swelling around the anus,,unmapped
melena,Phân đen,phân đen; đi ngoài phân đen; phân hắc ín,manual+auto
mild fever,Sốt nhẹ,sốt nhẹ; sốt 37; sốt 38,manual
"Mild to moderate head pain, tightness or pressure sensation on both sides of head","Mild to moderate head pain, tightness or pressure sensation on both sides of head",,unmapped
mood swings,Thay đổi tâm trạng,thay đổi tâm trạng; tâm trạng thất thường,manual
"Mood swings, bloating, breast tenderness, irritability","Mood swings, bloating, breast tenderness, irritability",,unmapped
"Mood swings, manic episodes, depressive episodes","Mood swings, manic episodes, depressive episodes",,unmapped
mouth pain,Đau miệng,đau miệng; nhức miệng,auto
mouth ulcer,Loét miệng,loét miệng; lở miệng,auto
mucoid sputum,Đờm nhầy,đờm nhầy; đàm nhầy,manual
muscle pain,Đau cơ,đau cơ; nhức mỏi cơ,manual
"Muscle pain and stiffness, joint pain, fatigue","Muscle pain and stiffness, joint pain, fatigue",,unmapped
"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures","Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures",,unmapped
muscle wasting,Teo cơ,teo cơ; mất cơ,manual
"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity","Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity",,unmapped
"Muscle weakness, fatigue, difficulty speaking","Muscle weakness, fatigue, difficulty speaking",,unmapped
"Muscle weakness, loss of sensation, chronic pain","Muscle weakness, loss of sensation, chronic pain",,unmapped
"Muscle weakness, pain, inflammation","Muscle weakness, pain, inflammation",,unmapped
nasal congestion,Nasal congestion,,unmapped
"Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell","Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell",,unmapped
nausea,Buồn nôn,buồn nôn; nôn nao,manual
"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever","Nausea, vomiting, diarrhea, abdominal pain or cramps, fever",,unmapped
neck mass,Khối ở cổ,khối ở cổ; u cục ở cổ; khối ở gáy; u cục ở gáy,auto
"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities","Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities",,unmapped
neck pain,Đau cổ,đau cổ; đau gáy; nhức cổ; nhức gáy,manual+auto
"Neck pain, stiffness, and abnormal head positioning","Neck pain, stiffness, and abnormal head positioning",,unmapped
neck swelling,Sưng cổ,sưng cổ; phù cổ; sưng gáy; phù gáy,auto
"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking","Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking",,unmapped
"Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system","Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system",,unmapped
nodal skin eruptions,Nổi nốt trên da,nổi nốt trên da; sẩn da; nốt da,manual
nosebleed,Nosebleed,,unmapped
"Numbness or tingling in fingers or around the mouth, muscle cramps","Numbness or tingling in fingers or around the mouth, muscle cramps",,unmapped
obesity,Béo phì,béo phì; thừa cân,manual
"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)","Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)",,unmapped
pain behind the eyes,Đau sau mắt,đau sau mắt; đau hốc mắt,manual
pain during bowel movements,Đau khi đi ngoài,đau khi đi ngoài; đau khi đại tiện,manual
"Pain during bowel movements, rectal bleeding","Pain during bowel movements, rectal bleeding",,unmapped
pain during intercourse,Pain during intercourse,,unmapped
pain during pregnancy,Pain during pregnancy,,unmapped
pain in anal region,Đau hậu môn,đau hậu môn,manual
pain in eye,Đau mắt,đau mắt; nhức mắt,auto
pain in gums,Đau nướu,đau nướu; đau lợi; nướu đau; lợi đau; nhức nướu; nhức lợi,manual+auto
pain in testicles,Pain in testicles,,unmapped
pain of the anus,Pain of the anus,,unmapped
"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation","Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation",,unmapped
"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements","Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements",,unmapped
"Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising","Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising",,unmapped
"Pain, swelling, redness, discharge from the nose","Pain, swelling, redness, discharge from the nose",,unmapped
Painful blisters on the skin and mucous membranes,Painful blisters on the skin and mucous membranes,,unmapped
"Painful lump or swelling on the eyelid, redness, tenderness","Painful lump or swelling on the eyelid, redness, tenderness",,unmapped
painful menstruation,Painful menstruation,,unmapped
painful sinuses,Painful sinuses,,unmapped
"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin","Painful ulcers or sores on the genital area, swollen lymph nodes in the groin",,unmapped
painful urination,Tiểu đau,tiểu đau; đau khi đi tiểu; đau khi tiểu,manual
"Painful urination, abnormal discharge from the genitals, pelvic pain","Painful urination, abnormal discharge from the genitals, pelvic pain",,unmapped
"Painful urination, frequent urination, pelvic pain, cloudy urine","Painful urination, frequent urination, pelvic pain, cloudy urine",,unmapped
painful walking,Đau khi đi bộ,đau khi đi bộ; đi lại đau,manual
"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling","Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling",,unmapped
palpitations,Đánh trống ngực,đánh trống ngực; hồi hộp,manual
"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness","Palpitations, sweating, trembling, shortness of breath, fear of losing control, dizziness",,unmapped
paresthesia,Paresthesia,,unmapped
patches in throat,Mảng trong họng,mảng trong họng; đốm trong họng,manual
pelvic pain,Đau vùng chậu,đau vùng chậu; nhức vùng chậu,auto
"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility",,unmapped
peripheral edema,Peripheral edema,,unmapped
"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin","Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin",,unmapped
"Persistent cough with yellow or green mucus, chest congestion, fatigue","Persistent cough with yellow or green mucus, chest congestion, fatigue",,unmapped
"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years","Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years",,unmapped
"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby","Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",,unmapped
"Persistent knee pain, stiffness, swelling, limited range of motion","Persistent knee pain, stiffness, swelling, limited range of motion",,unmapped
"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching",,unmapped
"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss","Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss",,unmapped
phlegm,Đờm,đờm; có đờm; ho đờm,manual
plugged feeling in ear,Plugged feeling in ear,,unmapped
polyuria,Tiểu nhiều,tiểu nhiều; đái nhiều,manual
"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs","Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs",,unmapped
problems during pregnancy,Problems during pregnancy,,unmapped
problems with movement,Problems with movement,,unmapped
prominent veins on calf,Tĩnh mạch nổi ở bắp chân,tĩnh mạch nổi ở bắp chân; gân xanh bắp chân,manual
puffy face and eyes,Mặt phù,mặt phù; mắt phù; sưng mặt,manual
pulling at ears,Pulling at ears,,unmapped
pus draining from ear,Pus draining from ear,,unmapped
pus filled pimples,Mụn mủ,mụn mủ,manual
"Raised, itchy welts on the skin","Raised, itchy welts on the skin",,unmapped
"Rash, itching, redness, peeling skin","Rash, itching, redness, peeling skin",,unmapped
"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms","Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms",,unmapped
"Rash, itching, swelling, fever, respiratory symptoms","Rash, itching, swelling, fever, respiratory symptoms",,unmapped
receiving blood transfusion,Truyền máu,truyền máu,manual
receiving unsterile injections,Tiêm không vô trùng,tiêm không vô trùng; tiêm bẩn,manual
recent pregnancy,Recent pregnancy,,unmapped
rectal bleeding,Rectal bleeding,,unmapped
"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",,unmapped
"Recurrent, disabling migraines","Recurrent, disabling migraines",,unmapped
red sore around nose,Loét đỏ quanh mũi,loét đỏ quanh mũi; đỏ đau quanh mũi,manual
red spots over body,Đốm đỏ toàn thân,đốm đỏ toàn thân; chấm đỏ trên da,manual
"Red, itchy, and oily patches of skin, dandruff, flaky scalp","Red, itchy, and oily patches of skin, dandruff, flaky scalp",,unmapped
"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation","Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation",,unmapped
"Red, scaly patches on the skin, itching","Red, scaly patches on the skin, itching",,unmapped
"Red, swollen, itchy bumps","Red, swollen, itchy bumps",,unmapped
redness in ear,Đỏ tai,đỏ tai,auto
redness of eyes,Đỏ mắt,đỏ mắt; mắt đỏ,manual
"Redness, itching, rash, blistering","Redness, itching, rash, blistering",,unmapped
"Redness, itching, watery discharge, swollen eyelids","Redness, itching, watery discharge, swollen eyelids",,unmapped
"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","Redness, pain, tenderness, swelling, skin changes, lymph node enlargement",,unmapped
"Redness, swelling, discharge from the wound","Redness, swelling, discharge from the wound",,unmapped
"Redness, swelling, discharge, foul odor around the umbilical area","Redness, swelling, discharge, foul odor around the umbilical area",,unmapped
"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise","Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise",,unmapped
"Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever","Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever",,unmapped
regurgitation,Regurgitation,,unmapped
regurgitation.1,Regurgitation.1,,unmapped
"Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms","Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms",,unmapped
restlessness,Bứt rứt,bứt rứt; không yên,manual
retention of urine,Bí tiểu,bí tiểu; không tiểu được,manual
rib pain,Rib pain,,unmapped
ringing in ear,Ringing in ear,,unmapped
"Rough, scaly patches on the skin, usually in sun-exposed areas","Rough, scaly patches on the skin, usually in sun-exposed areas",,unmapped
runny nose,Sổ mũi,sổ mũi; chảy nước mũi,manual
rusty sputum,Đờm màu gỉ sắt,đờm màu gỉ sắt; đàm gỉ sắt,manual
scurring,Sẹo,sẹo; sẹo mụn,manual
"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)",,unmapped
"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)",,unmapped
seizures,Seizures,,unmapped
"Severe abdominal or back pain, blood in urine, frequent urination, pain during urination","Severe abdominal or back pain, blood in urine, frequent urination, pain during urination",,unmapped
"Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure","Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure",,unmapped
"Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate","Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate",,unmapped
"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion",,unmapped
"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness","Severe and persistent pain, changes in skin color or temperature, swelling, stiffness",,unmapped
"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting",,unmapped
Severe nausea and vomiting during pregnancy,Severe nausea and vomiting during pregnancy,,unmapped
"Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs","Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs",,unmapped
"Severe pain in the side or back, blood in the urine, frequent urination","Severe pain in the side or back, blood in the urine, frequent urination",,unmapped
"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity","Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity",,unmapped
"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area","Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area",,unmapped
"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm",,unmapped
"Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness","Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness",,unmapped
"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling",,unmapped
"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice",,unmapped
"Shaking, dizziness, confusion, sweating","Shaking, dizziness, confusion, sweating",,unmapped
sharp abdominal pain,Đau bụng,đau bụng; nhức bụng,auto
sharp chest pain,Đau ngực,đau ngực; nhức ngực,auto
"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg","Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg",,unmapped
"Sharp, shooting pain along the affected nerve","Sharp, shooting pain along the affected nerve",,unmapped
shivering,Run rẩy,run rẩy; rét run; run lạnh,manual
"Shooting or burning pain, tingling or numbness","Shooting or burning pain, tingling or numbness",,unmapped
shortness of breath,Khó thở,khó thở; hụt hơi,auto
"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness",,unmapped
"Shortness of breath, dry cough, fatigue","Shortness of breath, dry cough, fatigue",,unmapped
"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs",,unmapped
"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss","Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss",,unmapped
shoulder pain,Đau vai,đau vai; nhức vai,auto
"Shoulder pain, swelling, limited range of motion","Shoulder pain, swelling, limited range of motion",,unmapped
shoulder stiffness or tightness,Cứng vai,cứng vai; căng vai,auto
side pain,Side pain,,unmapped
silver like dusting,Vảy bạc,vảy bạc; vảy trắng bạc,manual
sinus congestion,Sinus congestion,,unmapped
sinus pressure,Đau xoang,đau xoang; tức xoang,manual
"skin dryness, peeling, scaliness, or roughness","Skin dryness, peeling, scaliness, or roughness",,unmapped
skin growth,Skin growth,,unmapped
skin irritation,Skin irritation,,unmapped
skin lesion,Skin lesion,,unmapped
skin moles,Skin moles,,unmapped
skin peeling,Bong tróc da,bong tróc da; da bong tróc; tróc da; da tróc,manual
skin rash,Phát ban,phát ban; nổi ban; mẩn đỏ; nổi mẩn; ban đỏ,manual
skin swelling,Skin swelling,,unmapped
"Skipped or extra heartbeats, palpitations, lightheadedness","Skipped or extra heartbeats, palpitations, lightheadedness",,unmapped
sleepiness,Sleepiness,,unmapped
slurred speech,Nói khó,nói khó; nói líu; nói đớ,manual
"Slurred speech, impaired coordination, confusion","Slurred speech, impaired coordination, confusion",,unmapped
small dents in nails,Lõm móng,lõm móng; rỗ móng,manual
"Small, painful blisters on the lips or around the mouth","Small, painful blisters on the lips or around the mouth",,unmapped
sneezing,Sneezing,,unmapped
sore throat,Đau họng,đau họng; rát họng; viêm họng,manual
"Sore throat, difficulty swallowing, swollen lymph nodes","Sore throat, difficulty swallowing, swollen lymph nodes",,unmapped
"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite",,unmapped
"Sore throat, fever, rash (red, sandpaper-like), swollen glands","Sore throat, fever, rash (red, sandpaper-like), swollen glands",,unmapped
spinning movements,Chóng mặt xoay,chóng mặt xoay; cảm giác quay cuồng,manual
spots or clouds in vision,Spots or clouds in vision,,unmapped
spotting or bleeding during pregnancy,Spotting or bleeding during pregnancy,,unmapped
spotting urination,Spotting urination,,unmapped
stiff neck,Cứng cổ,cứng cổ; cứng gáy; căng cổ; căng gáy,manual+auto
stomach bleeding,Xuất huyết dạ dày,xuất huyết dạ dày; chảy máu dạ dày,manual+auto
stomach bloating,Stomach bloating,,unmapped
stomach pain,Đau dạ dày,đau dạ dày; đau bao tử; đau thượng vị; nhức dạ dày,manual+auto
